中文,English,分类,章节,书页,PDF页,解释,位置,功能,关联图,置信度
白线,white line,其他,第二章 消化系统,108,135,"肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。","肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。",,图2-2,高
皮下部,subcutaneous part,其他,第二章 消化系统,108,135,"肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。","肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。","皮下部subcutaneous part 位于内括 约肌下缘和外括约肌浅部的下方, 为围绕肛管下端的环行肌束, 在肛门口附近和白线下方位于皮肤深 层, 如此部纤维被切断, 不会产生大便失禁。",图2-2,高
肛梳,anal pecten,其他,第二章 消化系统,108,135,"108 第二章 消化系统 在齿状线下方有一宽约 1cm 的环状区域称肛梳 anal pecten ( 或称痔环 hemorrhoidal ring) , 表面光 滑, 因其深层有静脉丛, 故呈浅蓝色。","108 第二章 消化系统 在齿状线下方有一宽约 1cm 的环状区域称肛梳 anal pecten ( 或称痔环 hemorrhoidal ring) , 表面光 滑, 因其深层有静脉丛, 故呈浅蓝色。",,图2-2,高
肛门,anus,其他,第二章 消化系统,108,135,"肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。","肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。",,图2-2,高
肛门内括约肌,internal anal sphincter,肌肉,第二章 消化系统,108,135,"肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。","肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。",,图2-2,高
肛门外括约肌,external anal sphincter,肌肉,第二章 消化系统,108,135,"肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。","肛梳下缘有一不甚明显的环行线称白线white line ( 或称 Hilton 线 ) , 该线位于肛门外括约肌皮下部与肛门内括约肌下缘之间的水平, 故活体肛诊时可触知此处为一 环行浅沟即括约肌间沟 ( 见图 2-2 6 )。",,图2-2,高
肝,liver,内脏器官,第二章 消化系统,108,135,"第二节 | 消化腺 一 、 肝 肝 liver 是人体内最大的腺体, 也是人体内最大的实质性器官。",,,图2-2,高
冠状韧带,coronary ligament,脉管结构,第二章 消化系统 / 第五章 生殖系统,"109, 167","136, 194","肝膈面上有镰状韧带和冠状韧带附着,镰状韧带 falciform ligament 呈 矢状位, 肝借此分为左、 右两叶。",,,"图2-27, 图2-28",高
尾状叶,caudate lobe,其他,第二章 消化系统,109,136,"图2 -27 肝 (膈 面) 图2 -28 肝 (脏 面) 在肝的脏面, 借 H 形的沟、 裂和窝将肝分为 4 个叶: 肝左叶位于肝圆韧带裂和静脉韧带裂的左侧, 即左纵沟的左侧; 肝右叶位于胆囊窝与腔静脉沟的右侧, 即右纵沟的右侧;方叶 quadrate lobe 位于肝 门之前, 肝圆韧带裂与胆囊窝之间;尾状叶 caudate lobe 位于肝门之后, 静脉韧带裂与腔静脉沟之间。","图2 -27 肝 (膈 面) 图2 -28 肝 (脏 面) 在肝的脏面, 借 H 形的沟、 裂和窝将肝分为 4 个叶: 肝左叶位于肝圆韧带裂和静脉韧带裂的左侧, 即左纵沟的左侧;",,"图2-27, 图2-28",高
方叶,quadrate lobe,其他,第二章 消化系统,109,136,"图2 -27 肝 (膈 面) 图2 -28 肝 (脏 面) 在肝的脏面, 借 H 形的沟、 裂和窝将肝分为 4 个叶: 肝左叶位于肝圆韧带裂和静脉韧带裂的左侧, 即左纵沟的左侧; 肝右叶位于胆囊窝与腔静脉沟的右侧, 即右纵沟的右侧;方叶 quadrate lobe 位于肝 门之前, 肝圆韧带裂与胆囊窝之间;尾状叶 caudate lobe 位于肝门之后, 静脉韧带裂与腔静脉沟之间。","图2 -27 肝 (膈 面) 图2 -28 肝 (脏 面) 在肝的脏面, 借 H 形的沟、 裂和窝将肝分为 4 个叶: 肝左叶位于肝圆韧带裂和静脉韧带裂的左侧, 即左纵沟的左侧;",,"图2-27, 图2-28",高
第二肝门,secondary porta of liver,内脏器官,第二章 消化系统,109,136,"在腔静脉沟的上端处, 有肝左、 中、 右静脉出肝后立即 注入下腔静脉, 临床上常称此处为第二肝门secondary porta of liver。","在腔静脉沟的上端处, 有肝左、 中、 右静脉出肝后立即 注入下腔静脉, 临床上常称此处为第二肝门secondary porta of liver。",,"图2-27, 图2-28",高
肝右叶,right lobe of liver,内脏器官,第二章 消化系统,109,136,"肝左叶left lobe of liver 小而薄,肝右叶 right lobe of liver 大而厚。",,,"图2-27, 图2-28",高
肝圆韧带,ligamentum teres hepatis,其他,第二章 消化系统 / 第五章 生殖系统,"109, 167","136, 194","左侧的纵 沟较窄而深, 沟的前部称肝圆韧带裂fissure for ligamentum teres hepatis, 有肝圆韧带通过。","左侧的纵 沟较窄而深, 沟的前部称肝圆韧带裂fissure for ligamentum teres hepatis, 有肝圆韧带通过。",,图2-28,高
肝圆韧带裂,fissure for ligamentum teres hepatis,腔隙通道,第二章 消化系统,109,136,"左侧的纵 沟较窄而深, 沟的前部称肝圆韧带裂fissure for ligamentum teres hepatis, 有肝圆韧带通过。","左侧的纵 沟较窄而深, 沟的前部称肝圆韧带裂fissure for ligamentum teres hepatis, 有肝圆韧带通过。",,图2-28,高
肝左叶,left lobe of liver,内脏器官,第二章 消化系统,109,136,"肝左叶left lobe of liver 小而薄,肝右叶 right lobe of liver 大而厚。",,,"图2-27, 图2-28",高
胆囊窝,fossa for gallbladder,骨与骨性标志,第二章 消化系统,109,136,"右侧的纵沟比左侧的宽而浅, 沟的前部为一浅窝, 容纳胆囊, 故称胆囊窝fossa for gallbladder; 后部为腔静脉沟 sulcus for vena cava, 容纳下腔静脉。","右侧的纵沟比左侧的宽而浅, 沟的前部为一浅窝, 容纳胆囊, 故称胆囊窝fossa for gallbladder;",,"图2-27, 图2-28",高
脏面,visceral surface,其他,第二章 消化系统,109,136,"肝下面凹凸 不平, 邻接一些腹腔器官, 又称脏面visceral surface ( 图 2-28) 。","肝下面凹凸 不平, 邻接一些腹腔器官, 又称脏面visceral surface ( 图 2-28) 。",,图2-28,高
腔静脉沟,sulcus for vena cava,脉管结构,第二章 消化系统,109,136,"膈面后部冠状韧带两层之间没有腹膜被覆的部 分称裸区 bare area, 裸区的左侧部分有一较宽的沟, 称为腔静脉沟, 内有下腔静脉通过。","膈面后部冠状韧带两层之间没有腹膜被覆的部 分称裸区 bare area, 裸区的左侧部分有一较宽的沟, 称为腔静脉沟, 内有下腔静脉通过。",,"图2-27, 图2-28",高
膈面,diaphragmatic surface,其他,第二章 消化系统 / 第三章 呼吸系统,"109, 127","136, 154","肝上面膨隆, 与膈相接触, 故称膈面 diaphragmatic surface ( 图 2-27) 。","肝上面膨隆, 与膈相接触, 故称膈面 diaphragmatic surface ( 图 2-27) 。",,"图2-27, 图3-18, 图3-19",高
裸区,bare area,其他,第二章 消化系统,109,136,"膈面后部冠状韧带两层之间没有腹膜被覆的部 分称裸区 bare area, 裸区的左侧部分有一较宽的沟, 称为腔静脉沟, 内有下腔静脉通过。","膈面后部冠状韧带两层之间没有腹膜被覆的部 分称裸区 bare area, 裸区的左侧部分有一较宽的沟, 称为腔静脉沟, 内有下腔静脉通过。",,图2-28,高
镰状韧带,falciform ligament,关节韧带,第二章 消化系统 / 第五章 生殖系统,"109, 167","136, 194","肝膈面上有镰状韧带和冠状韧带附着,镰状韧带 falciform ligament 呈 矢状位, 肝借此分为左、 右两叶。","镰状韧带 falciform ligament 是腹前壁上部和膈下面连于肝上面的呈矢状位的双层腹膜结构, 位于 前正中线右侧, 侧面观形似镰刀。",,图2-27,高
静脉韧带,ligamentum venosum,脉管结构,第二章 消化系统,109,136,"沟的后部称 静脉韧带裂 fissure for ligamentum venosum, 容纳静脉韧带。","沟的后部称 静脉韧带裂 fissure for ligamentum venosum, 容纳静脉韧带。",,"图2-27, 图2-28",高
静脉韧带裂,fissure for ligamentum venosum,脉管结构,第二章 消化系统,109,136,"沟的后部称 静脉韧带裂 fissure for ligamentum venosum, 容纳静脉韧带。","沟的后部称 静脉韧带裂 fissure for ligamentum venosum, 容纳静脉韧带。",,"图2-27, 图2-28",高
肝圆韧带切迹,notch for ligamentum teres hepatis,骨与骨性标志,第二章 消化系统,110,137,"在胆囊窝处, 肝前缘上有一胆囊切迹, 胆囊 底常在此处露出于肝前缘; 在肝圆韧带通过处, 肝前缘上有一肝圆韧带切迹notch for ligamentum teres hepatis, 或称脐切迹。","在胆囊窝处, 肝前缘上有一胆囊切迹, 胆囊 底常在此处露出于肝前缘;",,图2-2,高
右叶间裂,right interlobar fissure,腔隙通道,第二章 消化系统,111,138,叶间裂有正中裂、 左叶间裂和右叶间裂。,"右叶间裂right interlobar fissure 位于正中裂的右侧, 此裂 在膈面相当于从肝前缘的胆囊切迹右侧部的外、 中 1/3 交界处, 斜向右上方到达下腔静脉右缘连线的 平面。",,图2-3,高
右段间裂,right intersegmental fissure,腔隙通道,第二章 消化系统,111,138,段间裂有左 段间裂、 右段间裂和背裂 ( 图 2-3 0 )。,"右段间裂right intersegmental fissure 在脏面相当于肝门横沟的右端与肝右缘中点连线的平面, 再转到膈面, 向左至正中裂。",,图2-3,高
左叶间裂,left interlobar fissure,腔隙通道,第二章 消化系统,111,138,叶间裂有正中裂、 左叶间裂和右叶间裂。,"左叶间 裂 left interlobar fissure 位于正中裂的左侧, 起自肝前缘的肝圆韧带切迹, 向后上方至肝左静脉汇入下 腔静脉处连线的平面。",,图2-3,高
左段间裂,left intersegmental fissure,腔隙通道,第二章 消化系统,111,138,左段间裂 left intersegmental fissure 相当于自肝左静脉汇入下腔静脉处与肝左缘的中、 上 1/3 交界 处连线的平面。,左段间裂 left intersegmental fissure 相当于自肝左静脉汇入下腔静脉处与肝左缘的中、 上 1/3 交界 处连线的平面。,,"图2-3, 图2-29, 图2-30",高
正中裂,middle hepatic fissure,腔隙通道,第二章 消化系统,111,138,叶间裂有正中裂、 左叶间裂和右叶间裂。,"正中裂 middle hepatic fissure 在肝的膈面相当于自肝前缘的胆囊切迹中点, 至下腔静脉左缘连线 的平面。",,图2-3,高
肝裂,hepatic fissure,腔隙通道,第二章 消化系统,111,138,"第二章 消化系统 111 的各级属支, 行于肝段之间, 而其主干即肝左、 中、 右静脉, 相应地行于各肝裂中, 最后在腔静脉沟的上 端即第二肝门处出肝, 分别注入下腔静脉 ( 见图 2-29) 。","第二章 消化系统 111 的各级属支, 行于肝段之间, 而其主干即肝左、 中、 右静脉, 相应地行于各肝裂中, 最后在腔静脉沟的上 端即第二肝门处出肝, 分别注入下腔静脉 ( 见图 2-29) 。",,"图2-3, 图2-29",高
背裂,dorsal fissure,腔隙通道,第二章 消化系统,111,138,段间裂有左 段间裂、 右段间裂和背裂 ( 图 2-3 0 )。,"背裂 dorsal fissure 位于尾状叶前方, 将尾状叶与左内叶和右前叶分开。",,"图2-3, 图2-30",高
胆囊,gallbladder,其他,第二章 消化系统,112,139,"二、 肝外胆道系统 肝外胆道系统是指肝门之外的胆道系统, 包括胆囊和输胆管道 ( 肝左管、 肝右管、 肝总管和胆总 管 ) 。",,,"图2-3, 图2-31",高
胆囊体,body of gallbladder,其他,第二章 消化系统,112,139,"胆囊体 body of gallbladder 是胆囊的主体部分, 与胆囊底之间无明显界限。",,,图2-3,高
胆囊底,fundus of gallbladder,其他,第二章 消化系统,112,139,"胆囊底 fundus of gallbladder 是胆囊突向前下方的盲端, 常在肝前缘的胆囊切迹处露出。","胆囊底 fundus of gallbladder 是胆囊突向前下方的盲端, 常在肝前缘的胆囊切迹处露出。",,图2-3,高
胆囊管,cystic duct,骨与骨性标志,第二章 消化系统,112,139,"胆囊颈 neck of gallbladder 狭细, 在肝门右端常以直角起于胆囊体, 略作 S 状扭转, 即开始向前上 方弯曲, 继而转向后下方续为胆囊管。","胆囊颈 neck of gallbladder 狭细, 在肝门右端常以直角起于胆囊体, 略作 S 状扭转, 即开始向前上 方弯曲, 继而转向后下方续为胆囊管。",,图2-31,高
胆囊颈,neck of gallbladder,其他,第二章 消化系统,112,139,"胆囊体向后逐渐变细, 约在肝门右端附近移行为胆囊颈。","胆囊体向后逐渐变细, 约在肝门右端附近移行为胆囊颈。",,"图2-3, 图2-31",高
螺旋襞,spiral fold,其他,第二章 消化系统,112,139,"胆囊内面衬以黏膜, 其中胆囊底和胆囊体的黏膜呈蜂窝状, 而衬于胆囊颈和胆囊管的黏膜呈螺旋 状突入腔内, 形成螺旋襞spiral fold ( 或称 Heister 瓣 ) ( 图 2-31) , 可控制胆汁的流入和流出。",,,图2-31,高
肝总管,common hepatic duct,骨与骨性标志,第二章 消化系统,113,140,"第二章 消化系统 113 胆囊管、 肝总管和肝的脏面围成的三角形区域称胆囊三角 ( 或称 Calot 三角 ) , 三角内常有胆囊动 脉通过, 因此该三角是胆囊手术中寻找胆囊动脉的标志。","第二章 消化系统 113 胆囊管、 肝总管和肝的脏面围成的三角形区域称胆囊三角 ( 或称 Calot 三角 ) , 三角内常有胆囊动 脉通过, 因此该三角是胆囊手术中寻找胆囊动脉的标志。",,"图2-3, 图2-31, 图2-32",高
肝胰壶腹,hepatopancreatic ampulla,其他,第二章 消化系统,113,140,"胆总管在肝十二指肠韧带内下行于肝固有 动脉的右侧、 肝门静脉的前方, 向下经十二指肠上部的后方, 降至胰头后方, 再转向十二指肠降部中 份, 在此处的十二指肠后内侧壁内与胰管汇合, 形成一略膨大的共同管道称肝胰壶腹hepatopancreatic ampulla ( 或称 Vater 壶腹 ) , 开口于十二指肠大乳头 ( 见图 2-20、 图 2-31 ) 。","胆总管在肝十二指肠韧带内下行于肝固有 动脉的右侧、 肝门静脉的前方, 向下经十二指肠上部的后方, 降至胰头后方, 再转向十二指肠降部中 份, 在此处的十二指肠后内侧壁内与胰管汇合, 形成一略膨大的共同管道称肝胰壶腹hepatopancreatic ampulla ( 或称 Vater 壶腹 ) , 开口于十二指肠大乳头 ( 见图 2-20、 图 2-31 ) 。",,"图2-20, 图2-31",高
肝胰壶腹括约肌,sphincter of hepatopancreatic ampulla,肌肉,第二章 消化系统,113,140,"在肝胰壶腹周围有肝胰壶腹括约肌 sphincter of hepatopancreatic ampulla 包绕, 在胆总管末段及胰管末段周围亦有少量平滑肌包绕, 以上三部分括约肌统称为 Oddi 括约肌 ( 见图 2-31 ) 。","在肝胰壶腹周围有肝胰壶腹括约肌 sphincter of hepatopancreatic ampulla 包绕, 在胆总管末段及胰管末段周围亦有少量平滑肌包绕, 以上三部分括约肌统称为 Oddi 括约肌 ( 见图 2-31 ) 。",,"图2-20, 图2-31",高
胆总管,common bile duct,骨与骨性标志,第二章 消化系统,113,140,"肝总管 common hepatic duct 长约 3cm, 下行于肝十二指肠韧带内, 并在韧带内与胆囊管以锐角结合成胆总管 (见 图 2-31, 图 2-3 2 )。","肝总管 common hepatic duct 长约 3cm, 下行于肝十二指肠韧带内, 并在韧带内与胆囊管以锐角结合成胆总管 (见 图 2-31, 图 2-3 2 )。",,"图2-3, 图2-31, 图2-32",高
胰,pancreas,内脏器官,第二章 消化系统,113,140,"图2 -32 胆道、 十二指肠和胰 (三) 胆 总 管 胆总管 common bile duct 由肝总管与胆囊管汇合而成, 胆总管的长度取决于两者汇合部位的高 低, 一般长约 4~8cm, 直径为 0.6~0.8cm。",,"三 、 胰 胰 pancreas 是人体第二大的消化腺, 由外分泌部和内分泌部组成。","图2-3, 图2-31, 图2-32",高
副胰管,accessory pancreatic duct,骨与骨性标志,第二章 消化系统,114,141,"在胰头上部常可见一小管, 行于胰管 上 方 ,称副胰管 accessory pancreatic duct, 开口于十二指肠小乳头, 主要引流胰头前上部的胰液 (见 图 2-3 2 )。","在胰头上部常可见一小管, 行于胰管 上 方 ,称副胰管 accessory pancreatic duct, 开口于十二指肠小乳头, 主要引流胰头前上部的胰液 (见 图 2-3 2 )。",,图2-3,高
胰体,body of pancreas,内脏器官,第二章 消化系统,114,141,"胰颈 neck of pancreas 是位于胰头与胰体之间的狭窄扁薄部分, 长 2.0~2.5cm。","胰颈 neck of pancreas 是位于胰头与胰体之间的狭窄扁薄部分, 长 2.0~2.5cm。",,图2-3,高
胰头,head of pancreas,内脏器官,第二章 消化系统,114,141,"图2 -33 胰的分部和毗邻 胰头 head of pancreas 为胰右端膨大的部分, 位于第 2 腰椎椎体的右前方, 其上、 下方和右侧被 十二指肠包绕。","图2 -33 胰的分部和毗邻 胰头 head of pancreas 为胰右端膨大的部分, 位于第 2 腰椎椎体的右前方, 其上、 下方和右侧被 十二指肠包绕。",,图2-33,高
胰尾,tail of pancreas,内脏器官,第二章 消化系统,114,141,"胰体 body of pancreas 位于胰颈与胰尾之间, 占胰的大部分, 略呈三棱柱形。","胰体 body of pancreas 位于胰颈与胰尾之间, 占胰的大部分, 略呈三棱柱形。",,图2-3,高
胰管,pancreatic duct,骨与骨性标志,第二章 消化系统,114,141,"胰管 pancreatic duct 位于胰实质内, 偏背侧, 其走行与胰的长轴一致, 从胰尾经胰体走向胰 头, 沿途接受许多小叶间导管, 最后于十二指肠降部的后内侧壁内与胆总管汇合成肝胰壶腹, 开口于十二指肠大乳头, 偶尔单独开口于十二指肠腔。","胰管 pancreatic duct 位于胰实质内, 偏背侧, 其走行与胰的长轴一致, 从胰尾经胰体走向胰 头, 沿途接受许多小叶间导管, 最后于十二指肠降部的后内侧壁内与胆总管汇合成肝胰壶腹, 开口于十二指肠大乳头, 偶尔单独开口于十二指肠腔。","胰管 pancreatic duct 位于胰实质内, 偏背侧, 其走行与胰的长轴一致, 从胰尾经胰体走向胰 头, 沿途接受许多小叶间导管, 最后于十二指肠降部的后内侧壁内与胆总管汇合成肝胰壶腹, 开口于十二指肠大乳头, 偶尔单独开口于十二指肠腔。",图2-3,高
胰颈,neck of pancreas,内脏器官,第二章 消化系统,114,141,"由于钩突与胰头和胰颈之间 夹有肝门静脉起始部和肠系膜上动、 静脉, 故胰头肿大时, 可压迫肝门静脉起始部, 影响其血液回流, 出现腹水、 脾大等症状。","胰颈 neck of pancreas 是位于胰头与胰体之间的狭窄扁薄部分, 长 2.0~2.5cm。","由于钩突与胰头和胰颈之间 夹有肝门静脉起始部和肠系膜上动、 静脉, 故胰头肿大时, 可压迫肝门静脉起始部, 影响其血液回流, 出现腹水、 脾大等症状。","图2-3, 图2-33",高
钩突,uncinate process,骨与骨性标志,第二章 消化系统,114,141,在胰头的下部有一向左后上方的钩突 uncinate process。,在胰头的下部有一向左后上方的钩突 uncinate process。,,图2-33,高
呼吸系统,respiratory system,其他,第二章 消化系统,116,143,116 本章数字资源 第三章 呼吸系统 呼吸系统 respiratory system 由呼吸道和肺组成。,,,图3-1,高
固有鼻腔,nasal cavity proper,腔隙通道,第三章 呼吸系统,117,144,每侧鼻腔以鼻阈 nasal limen 为界分为鼻前庭 nasal vestibule 和固有鼻腔 nasal cavity proper。,,,"图3-1, 图3-2",高
外鼻,external nose,解剖方位,第三章 呼吸系统,117,144,"第三章 呼吸系统 117 第一节 | 呼吸道 一 、 鼻 鼻 nose 是呼吸道的起始部, 也是嗅觉器官, 分为外鼻、 鼻腔和鼻旁窦 3 部分。","(一) 外 鼻 外鼻 external nose 位于面部中央, 以鼻骨和鼻软骨为支架, 外被皮肤, 内覆黏膜, 分为骨部和软骨 部。",,"图3-1, 图3-2",高
鼻,nose,其他,第三章 呼吸系统,117,144,"第三章 呼吸系统 117 第一节 | 呼吸道 一 、 鼻 鼻 nose 是呼吸道的起始部, 也是嗅觉器官, 分为外鼻、 鼻腔和鼻旁窦 3 部分。",,,"图3-1, 图3-2",高
鼻前庭,nasal vestibule,感觉器,第三章 呼吸系统,117,144,每侧鼻腔以鼻阈 nasal limen 为界分为鼻前庭 nasal vestibule 和固有鼻腔 nasal cavity proper。,,,图3-2,高
鼻后孔,choana,骨与骨性标志,第三章 呼吸系统,117,144,"鼻腔被鼻中隔分为左、 右两腔, 向前借鼻孔nostril 通外界, 向后经鼻 后孔 choana 通鼻咽部。","鼻腔被鼻中隔分为左、 右两腔, 向前借鼻孔nostril 通外界, 向后经鼻 后孔 choana 通鼻咽部。",,图3-2,高
鼻孔,nostril,骨与骨性标志,第三章 呼吸系统,117,144,"鼻腔被鼻中隔分为左、 右两腔, 向前借鼻孔nostril 通外界, 向后经鼻 后孔 choana 通鼻咽部。","鼻腔被鼻中隔分为左、 右两腔, 向前借鼻孔nostril 通外界, 向后经鼻 后孔 choana 通鼻咽部。",,图3-2,高
鼻翼,nasal ala,其他,第三章 呼吸系统,117,144,"外鼻与额相连的狭窄 部分称鼻根, 鼻根与鼻尖之间称鼻背, 外鼻前下端的隆凸部位称鼻尖, 鼻尖两侧的半圆形隆起称鼻翼 nasal ala。","外鼻与额相连的狭窄 部分称鼻根, 鼻根与鼻尖之间称鼻背, 外鼻前下端的隆凸部位称鼻尖, 鼻尖两侧的半圆形隆起称鼻翼 nasal ala。",,图3-2,高
鼻腔,nasal cavity,腔隙通道,第三章 呼吸系统,117,144,"第三章 呼吸系统 117 第一节 | 呼吸道 一 、 鼻 鼻 nose 是呼吸道的起始部, 也是嗅觉器官, 分为外鼻、 鼻腔和鼻旁窦 3 部分。","(二) 鼻 腔 鼻腔 nasal cavity 由骨和软骨及其表面被覆的黏膜和皮肤构成, 位于呼吸道起始部, 是顶部窄、 底 部宽、 前后狭长的腔隙 ( 图 3-2) 。","(二) 鼻 腔 鼻腔 nasal cavity 由骨和软骨及其表面被覆的黏膜和皮肤构成, 位于呼吸道起始部, 是顶部窄、 底 部宽、 前后狭长的腔隙 ( 图 3-2) 。",图3-2,高
鼻阈,nasal limen,其他,第三章 呼吸系统,117,144,每侧鼻腔以鼻阈 nasal limen 为界分为鼻前庭 nasal vestibule 和固有鼻腔 nasal cavity proper。,,,图3-2,高
半月裂孔,semilunar hiatus,骨与骨性标志,第三章 呼吸系统,118,145,"切除中鼻甲, 在中鼻道中部凹向上方的弧 形裂隙称 半月裂孔 semilunar hiatus, 其前端的漏斗状管道称筛漏斗 ethmoidal infundibulum, 通额窦 和前筛窦。","切除中鼻甲, 在中鼻道中部凹向上方的弧 形裂隙称 半月裂孔 semilunar hiatus, 其前端的漏斗状管道称筛漏斗 ethmoidal infundibulum, 通额窦 和前筛窦。",,"图3-2, 图3-3, 图3-4",高
嗅区,olfactory region,感觉器,第三章 呼吸系统,118,145,"鼻黏膜分两部分, 位于上鼻甲和与其相对的鼻中隔以及二者上方鼻腔顶部的区域称 嗅区 olfactory region, 富含接受嗅觉刺激的嗅细胞, 其余黏膜部分则富含鼻腺 nasal gland 称呼吸区 (图 3-2 )。","鼻黏膜分两部分, 位于上鼻甲和与其相对的鼻中隔以及二者上方鼻腔顶部的区域称 嗅区 olfactory region, 富含接受嗅觉刺激的嗅细胞, 其余黏膜部分则富含鼻腺 nasal gland 称呼吸区 (图 3-2 )。","鼻黏膜分两部分, 位于上鼻甲和与其相对的鼻中隔以及二者上方鼻腔顶部的区域称 嗅区 olfactory region, 富含接受嗅觉刺激的嗅细胞, 其余黏膜部分则富含鼻腺 nasal gland 称呼吸区 (图 3-2 )。","图3-2, 图3-3, 图3-4",高
最上鼻甲,supreme nasal concha,其他,第三章 呼吸系统,118,145,多数人上鼻甲的后上方有 最上鼻甲 supreme nasal concha。,,,"图3-2, 图3-3, 图3-4",高
筛泡,ethmoidal bulla,其他,第三章 呼吸系统,118,145,"半月裂孔上方的圆形隆起称筛泡 ethmoidal bulla, 筛泡内有中筛窦。",,,图3-2,高
筛漏斗,ethmoidal infundibulum,其他,第三章 呼吸系统,118,145,"切除中鼻甲, 在中鼻道中部凹向上方的弧 形裂隙称 半月裂孔 semilunar hiatus, 其前端的漏斗状管道称筛漏斗 ethmoidal infundibulum, 通额窦 和前筛窦。","切除中鼻甲, 在中鼻道中部凹向上方的弧 形裂隙称 半月裂孔 semilunar hiatus, 其前端的漏斗状管道称筛漏斗 ethmoidal infundibulum, 通额窦 和前筛窦。",,图3-2,高
蝶筛隐窝,sphenoethmoidal recess,骨与骨性标志,第三章 呼吸系统,118,145,最上鼻甲或上鼻甲后上方 与蝶骨体之间的凹陷称蝶筛隐窝 sphenoethmoidal recess。,,,"图3-2, 图3-3, 图3-4",高
鼻中隔,nasal septum,其他,第三章 呼吸系统,118,145,"118 第三章 呼吸系统 鼻中隔 nasal septum 由筛骨垂直板、 犁骨和鼻中隔软骨组成支架, 表面被覆黏膜而成, 构成鼻腔的 内侧壁。",,"118 第三章 呼吸系统 鼻中隔 nasal septum 由筛骨垂直板、 犁骨和鼻中隔软骨组成支架, 表面被覆黏膜而成, 构成鼻腔的 内侧壁。","图3-2, 图3-3, 图3-4",高
鼻甲,nasal concha,其他,第三章 呼吸系统,118,145,鼻腔外侧壁自上而下可见上、 中、 下 3 个鼻甲nasal concha。,,,"图3-2, 图3-3, 图3-4",高
喉,larynx,其他,第三章 呼吸系统,119,146,"三 、 喉 喉 larynx 既是呼吸的管道, 又是发音的器官, 主要由喉软骨和喉肌构成。",,"三 、 喉 喉 larynx 既是呼吸的管道, 又是发音的器官, 主要由喉软骨和喉肌构成。","图3-3, 图3-4",高
上切迹,superior notch,骨与骨性标志,第三章 呼吸系统,120,147,"喉结上方 有呈 V 形的切迹, 称为上切迹superior notch。",,,图3-5,高
会厌,epiglottis,其他,第三章 呼吸系统,120,147,120 第三章 呼吸系统 (一) 喉 软 骨 喉的支架由甲状软骨、 环状软骨、 会厌软骨和成对的杓状软骨等喉软骨构成。,,120 第三章 呼吸系统 (一) 喉 软 骨 喉的支架由甲状软骨、 环状软骨、 会厌软骨和成对的杓状软骨等喉软骨构成。,"图3-5, 图3-6, 图3-7",高
会厌软骨,epiglottic cartilage,骨与骨性标志,第三章 呼吸系统,120,147,120 第三章 呼吸系统 (一) 喉 软 骨 喉的支架由甲状软骨、 环状软骨、 会厌软骨和成对的杓状软骨等喉软骨构成。,,120 第三章 呼吸系统 (一) 喉 软 骨 喉的支架由甲状软骨、 环状软骨、 会厌软骨和成对的杓状软骨等喉软骨构成。,"图3-5, 图3-6, 图3-7",高
