中文,English,分类,章节,书页,PDF页,解释,位置,功能,关联图,置信度
腓侧,fibular,其他,绪论,4,31,"上肢的尺侧 ulnar 和桡侧 radial、 下肢的胫侧tibial 和腓侧 fibular 分别与其内侧和外侧相对应, 是根据前 臂桡骨、 尺骨和小腿胫骨、 腓骨的位置, 描述前臂和小 腿与正中矢状面相对位置的关系术语。",,,"绪图-1, 绪图-2",高
近侧,proximal,解剖方位,绪论,4,31,"近侧 proximal 和远侧 distal 是描述器官或结构距 肢体根部相对远近的术语, 常用于四肢。",,,"绪图-1, 绪图-2",高
远侧,distal,解剖方位,绪论,4,31,"近侧 proximal 和远侧 distal 是描述器官或结构距 肢体根部相对远近的术语, 常用于四肢。",,,"绪图-1, 绪图-2",高
冠状轴,frontal axis,解剖方位,绪论,5,32,"绪论 5 (3) 冠状轴 frontal axis: 为左、 右方向, 与水平面平行, 与前两个轴相垂直的轴。",,,,高
冠状面,frontal plane,解剖方位,绪论,5,32,"(2) 冠状面 fron tal plane: 是指左、 右方向, 将人体分为前、 后两部的剖面, 该切面与水平面及矢状 面互相垂直。",,,,高
变异,variation,其他,绪论,5,32,"六、 人体器官的变异与畸形 人体解剖学中描述的器官形态、 构造、 位置、 大小及其血液供应和神经配布均指正常状态, 在统计 学上为绝大多数。","六、 人体器官的变异与畸形 人体解剖学中描述的器官形态、 构造、 位置、 大小及其血液供应和神经配布均指正常状态, 在统计 学上为绝大多数。","六、 人体器官的变异与畸形 人体解剖学中描述的器官形态、 构造、 位置、 大小及其血液供应和神经配布均指正常状态, 在统计 学上为绝大多数。",,高
异常,abnormal,其他,绪论,5,32,"如超出一般变异范围, 统计学上出现率极低, 甚至影响正常生理功能者, 称为异常 abnormal 或畸形 deformation。",,"如超出一般变异范围, 统计学上出现率极低, 甚至影响正常生理功能者, 称为异常 abnormal 或畸形 deformation。",,高
水平面,horizontal plane,解剖方位,绪论,5,32,"绪论 5 (3) 冠状轴 frontal axis: 为左、 右方向, 与水平面平行, 与前两个轴相垂直的轴。",,,,高
畸形,deformation,其他,绪论,5,32,"六、 人体器官的变异与畸形 人体解剖学中描述的器官形态、 构造、 位置、 大小及其血液供应和神经配布均指正常状态, 在统计 学上为绝大多数。","六、 人体器官的变异与畸形 人体解剖学中描述的器官形态、 构造、 位置、 大小及其血液供应和神经配布均指正常状态, 在统计 学上为绝大多数。","六、 人体器官的变异与畸形 人体解剖学中描述的器官形态、 构造、 位置、 大小及其血液供应和神经配布均指正常状态, 在统计 学上为绝大多数。",,高
矢状面,sagittal plane,解剖方位,绪论,5,32,"2. 面 (1) 矢状面 sagittal plane: 是指前、 后方向, 将人体分成左、 右两部的剖面, 该切面与地平面垂直。",,,,高
不规则骨,irregular bone,骨与骨性标志,第一章 运动系统,6,33,"4. 不 规则骨 irregular bone 形状不规则 , 如椎骨。",,,"图1-1, 图1-2",高
含气骨,pneumatic bone,骨与骨性标志,第一章 运动系统,6,33,"有些不规则骨内有与外界相通的腔洞, 称 含气骨 pneumatic bone, 如上颌骨。","有些不规则骨内有与外界相通的腔洞, 称 含气骨 pneumatic bone, 如上颌骨。",,"图1-1, 图1-2",高
干骺端,metaphysis,其他,第一章 运动系统,6,33,"骨干与骺相邻的部分称干骺端metaphysis, 幼年时保留透明软骨成分, 称骺软骨 epiphysial cartilage, 骺软骨细胞不断分裂增殖和骨化, 使骨不断 加长。",,,图1-2,高
扁骨,flat bone,骨与骨性标志,第一章 运动系统,6,33,"3. 扁骨 flat bone 呈板状, 参与构成颅腔、 胸腔和盆腔壁, 可保护脏器, 如颅盖骨和肋骨。",,"3. 扁骨 flat bone 呈板状, 参与构成颅腔、 胸腔和盆腔壁, 可保护脏器, 如颅盖骨和肋骨。","图1-1, 图1-2",高
短骨,short bone,骨与骨性标志,第一章 运动系统,6,33,"2. 短 骨 short bone 形 似立方体, 多成群分布于连结牢固且运动较灵活的部位, 如腕骨和 跗骨。","2. 短 骨 short bone 形 似立方体, 多成群分布于连结牢固且运动较灵活的部位, 如腕骨和 跗骨。","2. 短 骨 short bone 形 似立方体, 多成群分布于连结牢固且运动较灵活的部位, 如腕骨和 跗骨。","图1-1, 图1-2",高
籽骨,sesamoid bone,骨与骨性标志,第一章 运动系统,"6, 57","33, 84","位于肌腱内的扁圆形小骨称籽骨 sesamoid bone, 在运动中起着减少摩擦和改变肌肉牵拉方向的 作用。","位于肌腱内的扁圆形小骨称籽骨 sesamoid bone, 在运动中起着减少摩擦和改变肌肉牵拉方向的 作用。","位于肌腱内的扁圆形小骨称籽骨 sesamoid bone, 在运动中起着减少摩擦和改变肌肉牵拉方向的 作用。","图1-8, 图1-81",高
长骨,long bone,骨与骨性标志,第一章 运动系统,6,33,"1. 长 骨 long bone 分布于四肢 , 呈长管状, 分为一体两端。","1. 长 骨 long bone 分布于四肢 , 呈长管状, 分为一体两端。",,"图1-1, 图1-2",高
骨,bone,骨与骨性标志,第一章 运动系统,6,33,"6 本章数字资源 本章思维导图 第一章 运动系统 运动系统由骨、 骨连结和骨骼肌组成, 约占成人体重的 60%~70%, 执行支持、 保护和运动功能。","6 本章数字资源 本章思维导图 第一章 运动系统 运动系统由骨、 骨连结和骨骼肌组成, 约占成人体重的 60%~70%, 执行支持、 保护和运动功能。","6 本章数字资源 本章思维导图 第一章 运动系统 运动系统由骨、 骨连结和骨骼肌组成, 约占成人体重的 60%~70%, 执行支持、 保护和运动功能。","图1-1, 图1-2",高
骨干,"diaphysis, shaft",骨与骨性标志,第一章 运动系统,6,33,"体又称骨干diaphysis, shaft, 内 有空腔称髓腔 medullary cavity, 容纳骨髓。","体又称骨干diaphysis, shaft, 内 有空腔称髓腔 medullary cavity, 容纳骨髓。",,"图1-1, 图1-2",高
骺,epiphysis,其他,第一章 运动系统,6,33,"两端膨大称 骺 epiphysis, 表面有光滑的关节面, 与相邻关节面构成关节。",,"两端膨大称 骺 epiphysis, 表面有光滑的关节面, 与相邻关节面构成关节。","图1-1, 图1-2",高
骺线,epiphysial line,其他,第一章 运动系统,6,33,"成年后, 骺软骨骨化, 骨干与骺融为一体, 遗留的痕迹称骺线epiphysial line。",,,"图1-1, 图1-2",高
骺软骨,epiphysial cartilage,骨与骨性标志,第一章 运动系统,6,33,"骨干与骺相邻的部分称干骺端metaphysis, 幼年时保留透明软骨成分, 称骺软骨 epiphysial cartilage, 骺软骨细胞不断分裂增殖和骨化, 使骨不断 加长。",,,"图1-1, 图1-2",高
